job_family,experiment_id,seed,output_dir,scientific_question,contract_sha256,RL_ALGORITHM,POLICY_ENCODER,VINE_FEATURE_MODE,CVAR_OBSERVATION_MODE,CVAR_REWARD_MODE,PRETRAIN_DATA_MODE,RUN_FINETUNE,SYNTHETIC_RETURNS_FILE,CHECKPOINT_PREFIX,LR_ACTOR,LR_CRITIC,ENTROPY_COEF,PRETRAIN_BEHAVIOR_GATE_MODE,declared_pretrain_behavior_gate_mode,operational_source,gate_path_equivalence
rl_algorithm_control,ddpg_lstm_full,20261003,data/publication_extension_runs_v2/ddpg_lstm_full/seed_20261003,Matched-seed DDPG control.,34472ee816147daf345bd59a92cf1acce3342a27fec3ebb9d22df709490bc9cb,ddpg,lstm,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,ddpg_lstm_vine,0.00003,0.0001,0.005,strict,strict,v2_strict,not_applicable
rl_algorithm_control,ddpg_lstm_full,20261004,data/publication_extension_runs_v2/ddpg_lstm_full/seed_20261004,Matched-seed DDPG control.,34472ee816147daf345bd59a92cf1acce3342a27fec3ebb9d22df709490bc9cb,ddpg,lstm,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,ddpg_lstm_vine,0.00003,0.0001,0.005,strict,strict,v2_strict,not_applicable
rl_algorithm_control,ddpg_lstm_full,20261005,data/publication_extension_runs_v2/ddpg_lstm_full/seed_20261005,Matched-seed DDPG control.,34472ee816147daf345bd59a92cf1acce3342a27fec3ebb9d22df709490bc9cb,ddpg,lstm,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,ddpg_lstm_vine,0.00003,0.0001,0.005,strict,strict,v2_strict,not_applicable
rl_algorithm_control,ddpg_lstm_full,20261006,data/publication_extension_runs_v2/ddpg_lstm_full/seed_20261006,Matched-seed DDPG control.,34472ee816147daf345bd59a92cf1acce3342a27fec3ebb9d22df709490bc9cb,ddpg,lstm,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,ddpg_lstm_vine,0.00003,0.0001,0.005,strict,strict,v2_strict,not_applicable
rl_algorithm_control,ddpg_lstm_full,20261007,data/publication_extension_runs_v2/ddpg_lstm_full/seed_20261007,Matched-seed DDPG control.,34472ee816147daf345bd59a92cf1acce3342a27fec3ebb9d22df709490bc9cb,ddpg,lstm,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,ddpg_lstm_vine,0.00003,0.0001,0.005,strict,strict,v2_strict,not_applicable
rl_algorithm_control,ddpg_lstm_full,20261008,data/publication_extension_runs_v2/ddpg_lstm_full/seed_20261008,Matched-seed DDPG control.,34472ee816147daf345bd59a92cf1acce3342a27fec3ebb9d22df709490bc9cb,ddpg,lstm,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,ddpg_lstm_vine,0.00003,0.0001,0.005,strict,strict,v2_strict,not_applicable
rl_algorithm_control,ddpg_lstm_full,20261009,data/publication_extension_runs_v2/ddpg_lstm_full/seed_20261009,Matched-seed DDPG control.,34472ee816147daf345bd59a92cf1acce3342a27fec3ebb9d22df709490bc9cb,ddpg,lstm,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,ddpg_lstm_vine,0.00003,0.0001,0.005,strict,strict,v2_strict,not_applicable
rl_algorithm_control,ddpg_lstm_full,20261010,data/publication_extension_runs_v2/ddpg_lstm_full/seed_20261010,Matched-seed DDPG control.,34472ee816147daf345bd59a92cf1acce3342a27fec3ebb9d22df709490bc9cb,ddpg,lstm,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,ddpg_lstm_vine,0.00003,0.0001,0.005,strict,strict,v2_strict,not_applicable
causal_ablation,feedforward_capacity_matched,20261001,data/publication_extension_runs_v3/feedforward_capacity_matched/seed_20261001,Does recurrent state processing add value beyond a parameter-matched feedforward encoder?,22f51d786982416771cd5139eb252d2e3745e65170f045a2a332bcaeb7e50fad,td3,mlp,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,td3_mlp_vine,0.00003,0.0001,0.005,strict,report_only,v3_strict_path,all_metrics_passed_no_branch_difference
causal_ablation,feedforward_capacity_matched,20261002,data/publication_extension_runs_v4/feedforward_capacity_matched/seed_20261002,Does recurrent state processing add value beyond a parameter-matched feedforward encoder?,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,td3,mlp,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,td3_mlp_vine,0.00003,0.0001,0.005,report_only,report_only,v4_report_only,not_applicable
