stage,pass,episode,reward,noise,terminal_wealth,mean_turnover,q95_turnover,mean_cvar,mean_gross_exposure,fraction_at_gross_cap,mean_short_notional,max_abs_weight,mean_leverage_gate,q95_leverage_gate,std_leverage_gate,mean_effective_leverage,gate_gross_mae,fraction_at_position_cap,mean_direction_entropy,total_actions,update_count
pretrain,,1,0.052740473927431517,0.15,119426.07940050938,1.1685383247669598,1.5302429229909802,0.09160123316119022,1.242764038632491,0.0,0.12138201931624544,0.37350260359900334,0.48552805185317993,0.7972843706607818,0.24305873768529102,0.48552807726498165,4.687656958897909e-08,0.0,1.1282024880250294,24,0
pretrain,,2,0.480123025126854,0.1497,243280.91639772832,1.2078805753877175,1.772765291475058,0.09069127182014951,1.2635927667253695,0.0,0.13179638336268476,0.4176097512245178,0.5271855094470084,0.932549664378166,0.249482040487139,0.527185533450739,5.176601312421406e-08,0.0,1.1260255376497905,48,0
pretrain,,3,0.3725633779078946,0.1494006,191304.63655460213,1.1589393083955304,1.866117339235384,0.08725844858034437,1.2662720594754708,0.0,0.13313602973773545,0.4096774767552103,0.5325441152478257,0.8562533229589462,0.2154322587333664,0.5325441189509418,4.188734152125543e-08,0.0,1.1279549896717072,72,0
pretrain,,4,0.10954346376971773,0.1491017988,129475.00864797029,1.0176397319857802,1.4622619076295702,0.09842226110365006,1.2765105617498713,0.0,0.13825528087493566,0.3585999895419393,0.5530211093525091,0.8613109111785888,0.20430769829175968,0.5530211234997425,4.936009641761293e-08,0.0,1.1360192596912384,96,0
pretrain,,5,0.009515079530297982,0.1488035952024,113925.80030849398,1.1078713701002165,1.5250701046814448,0.09393385302269967,1.2377156837000733,0.0,0.11885784185003667,0.4026431239077023,0.4754313478867213,0.7597337126731872,0.18900152969042908,0.4754313674001467,5.0734906017109914e-08,0.0,1.1285863568385441,120,0
pretrain,,6,0.10955914376372336,0.1485059880119952,128157.26024688788,1.1546758430602282,1.591796847591575,0.0917912656680524,1.2514439211005255,0.0,0.12572196055026283,0.39728167386991636,0.5028878021985292,0.8019636213779447,0.18328701547797083,0.5028878422010513,4.9936629461141045e-08,0.0,1.1293046275774639,144,17
pretrain,,7,-0.12668753577716652,0.14820897603597122,98042.83828253594,0.9915970277398194,1.3798643159097659,0.08893768656339757,1.2449333465081596,0.0,0.12246667325407978,0.4130881902362619,0.4898666658749183,0.7491365283727646,0.2064719125415201,0.48986669301631897,5.401670934620147e-08,0.0,1.1334380507469177,168,41
pretrain,,8,0.007756319195900072,0.14791255808389928,113636.28459123727,1.0343776538657836,1.4746012941592683,0.09353589056517958,1.2494557702226476,0.0,0.12472788511132378,0.3560255712696484,0.49891151177386445,0.8929356306791303,0.23052184174650417,0.4989115404452951,6.672261015916447e-08,0.0,1.135703777273496,192,65
pretrain,,9,0.13214961986848822,0.14761673296773145,132930.68006410607,1.1320366389442034,1.6199802768508615,0.09631549577422323,1.2531496927785197,0.0,0.12657484638926,0.4351349536861692,0.5062993466854095,0.7766739934682846,0.21866393626613903,0.5062993855570398,5.19988437308605e-08,0.0,1.1267300645510356,216,89
pretrain,,10,-0.40190020474186494,0.14732149950179602,77425.7364840417,1.042652009003745,1.4814461251025643,0.09195000070625294,1.232808496204338,0.0,0.11640424810216897,0.4015287991080965,0.4656169613202413,0.7502023339271545,0.18862591885554436,0.46561699240867577,4.119993681402553e-08,0.0,1.128701612353325,240,113
pretrain,,11,0.16825077225865592,0.1470268565027924,138460.17994748513,1.0978336525409444,1.4329371480411288,0.09126659947767231,1.2277733035651701,0.0,0.11388665178258506,0.3989740897502218,0.45554657590885955,0.7226907908916472,0.2032411197224834,0.45554660713034006,5.6234144045023506e-08,0.0,1.1324436912933986,264,137
pretrain,,12,-0.0041616826535669955,0.14673280278978681,112193.67562968603,1.0846179943835084,1.458336418916638,0.09403820396839487,1.2502612699311049,0.0,0.12513063496555246,0.42741850124938147,0.5005225281541547,0.7787321686744689,0.19913763075638385,0.5005225398622098,4.7896589490855255e-08,0.0,1.122327486673991,288,161
pretrain,,13,-0.12196880125204684,0.14643933718420726,98813.88808962653,1.1054014312939768,1.621438216626187,0.09163775606384043,1.294473383653288,0.0,0.14723669182664403,0.43923218974045347,0.5889467637365063,0.8560322523117065,0.21056085632092011,0.5889467673065761,5.749808179578153e-08,0.0,1.1319246192773182,312,185
pretrain,,14,0.287720476414298,0.14614645850983884,167413.50209296413,1.1351970933077522,1.553122103400529,0.09579678098436567,1.238904948734368,0.0,0.11945247436718394,0.3777279885751861,0.4778098768244187,0.8615029752254485,0.23971146201312526,0.47780989746873576,3.6609846913264e-08,0.0,1.1266039510567982,336,209
pretrain,,15,0.15324600464367163,0.14585416559281916,136878.07021926384,1.0901153970605735,1.4797452495998606,0.09681397958387554,1.2398827460683173,0.0,0.11994137303415864,0.41493729182652067,0.4797654915601015,0.7768439561128615,0.20319275405823264,0.47976549213663455,3.61441856629637e-08,0.0,1.1294342825810115,360,233
pretrain,,16,-0.033070338368170415,0.14556245726163353,108229.50557213729,1.0380919168452156,1.4192680738098336,0.09092323361362942,1.2491541633360266,0.0,0.12457708166801328,0.3859735381390367,0.49830828979611397,0.751208832859993,0.1892965052826142,0.498308326672053,5.066838287826059e-08,0.0,1.1306868741909664,384,257
pretrain,,17,0.14421447058618617,0.14527133234711026,134290.2209652466,1.1873311702036595,1.5983033443823431,0.09260805773603664,1.261779879208743,0.0,0.13088993960437145,0.35619399164404186,0.5235597568874558,0.8419753849506377,0.20064172867446697,0.5235597584174857,4.3927381399022636e-08,0.0,1.137489214539528,408,281
pretrain,,18,-0.059639662374300725,0.144980789682416,106157.86048444555,1.1464077522501228,1.5502704651913726,0.09803858286394414,1.2349830126123769,0.0,0.11749150630618847,0.3867001565439361,0.46996601050098735,0.6725833237171173,0.1471588897926035,0.4699660252247538,5.6234144082030944e-08,0.0,1.1304653882980347,432,305
pretrain,,19,0.21774498056039873,0.1446908281030512,149010.95854800157,1.139175240104499,1.4000300154654484,0.09263619734799888,1.2321649570173272,0.0,0.1160824785086637,0.4111828697579248,0.4643298949425419,0.8564089357852934,0.2238238850141666,0.4643299140346546,5.10675211377413e-08,0.0,1.1331333269675572,456,329
pretrain,,20,0.18429208522806168,0.1444014464468451,141866.84949837739,1.0226103941501707,1.4207923259284296,0.09235133762853716,1.2593936914178943,0.0,0.12969684570894713,0.3695257284811565,0.5187873585770527,0.7586907893419266,0.16659165865310654,0.5187873828357884,4.909400430630484e-08,0.0,1.1325639734665554,480,353
pretrain,,21,-0.11373376898806298,0.1441126435539514,100255.87169131922,1.043686326994446,1.5258459791694796,0.09690496298188439,1.2203430235940254,0.0,0.11017151179701269,0.39907523031745634,0.44068602193146944,0.7145026475191116,0.20867109432807415,0.44068604718805066,5.5990226177637936e-08,0.0,1.129849632581075,504,377
