window_episodes,metric,value,comparison,threshold,pass
100,mean_leverage_gate,0.7954337494323651,<=,0.95,True
100,fraction_at_gross_cap,0.0,<=,0.75,True
100,gate_gross_mae,7.630636294682821e-08,<=,1e-05,True
100,mean_turnover,0.5510720784742632,<=,1.0,True
100,max_position_limit_violation,0.0,<=,1e-06,True
100,mean_normalized_direction_entropy,0.8390380376336765,>=,0.7,True
100,q05_normalized_direction_entropy,0.7228662970026533,>=,0.5,True
100,mean_effective_positions,3.9287298809488616,>=,2.5,True
